tool,file,line,severity
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,40,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,41,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,41,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,41,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,42,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,42,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,46,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,46,warning
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,48,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,49,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,51,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,52,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,54,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,55,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/api/routes/wallets.py,56,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/api/routes/wallets.py,62,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,3,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,105,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,107,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,111,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,113,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,118,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,119,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,121,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,125,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,127,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,130,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,146,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,154,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,155,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,156,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,161,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,166,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,168,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,173,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,181,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,188,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,193,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,195,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,202,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,205,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,211,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,216,warning
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,216,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,218,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,222,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,226,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,237,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,245,error
mypy,backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,16,error
mypy,backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,17,error
mypy,backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,20,error
mypy,backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,20,note
mypy,backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,46,error
mypy,backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,46,note
mypy,backend/app/crud.py,145,error
mypy,backend/app/crud.py,240,error
mypy,backend/app/crud.py,245,error
radon_cc,backend/app/email_utils.py,36,B
radon_cc,backend/app/crud.py,177,B
radon_cc,backend/app/tests/api/routes/test_items.py,27,B
radon_cc,backend/app/tests/api/routes/test_items.py,45,B
radon_cc,backend/app/tests/api/routes/test_items.py,107,B
radon_cc,backend/app/tests/api/routes/test_users.py,357,B
radon_cc,backend/app/tests/api/routes/test_users.py,232,B
flake8_wps,backend/app/api/routes/transactions.py,51,warning
flake8_wps,backend/app/api/routes/users.py,0,warning
flake8_wps,backend/app/crud.py,0,warning
flake8_wps,backend/app/crud.py,10,warning
flake8_wps,backend/app/crud.py,26,warning
flake8_wps,backend/app/crud.py,27,warning
flake8_wps,backend/app/crud.py,27,warning
flake8_wps,backend/app/crud.py,28,warning
flake8_wps,backend/app/crud.py,110,warning
flake8_wps,backend/app/crud.py,124,warning
flake8_wps,backend/app/crud.py,165,warning
flake8_wps,backend/app/crud.py,187,warning
flake8_wps,backend/app/crud.py,192,warning
flake8_wps,backend/app/crud.py,215,warning
flake8_wps,backend/app/email_utils.py,0,warning
flake8_wps,backend/app/models.py,0,warning
